X_Mill1_Leh_100300400021_Leh_Atta	15.51
X_Mill1_Leh_100300400021_Leh_Wheat1	1.0
X_Mill1_Leh_100300400022_Leh_Atta	7.53
X_Mill1_Leh_100300400022_Leh_Wheat1	1.0
X_Mill1_Leh_100300400023_Leh_Atta	27.96
X_Mill1_Leh_100300400023_Leh_Wheat1	1.0
X_Mill1_Leh_100300500001_Leh_Atta	37.53
X_Mill1_Leh_100300500001_Leh_Wheat1	1.0
X_Mill1_Leh_100300500004_Leh_Atta	11.55
X_Mill1_Leh_100300500004_Leh_Wheat1	1.0
X_Mill1_Leh_100300500005_Leh_Atta	9.27
X_Mill1_Leh_100300500005_Leh_Wheat1	1.0
X_Mill1_Leh_100300500008_Leh_Atta	2.61
X_Mill1_Leh_100300500008_Leh_Wheat1	1.0
X_Mill1_Leh_100300500013_Leh_Atta	21.33
X_Mill1_Leh_100300500013_Leh_Wheat1	1.0
X_Mill1_Leh_100300500015_Leh_Atta	3.6
X_Mill1_Leh_100300500015_Leh_Wheat1	1.0
X_Mill1_Leh_100300500017_Leh_Atta	10.71
X_Mill1_Leh_100300500017_Leh_Wheat1	1.0
X_Mill1_Leh_100300500019_Leh_Atta	4.38
X_Mill1_Leh_100300500019_Leh_Wheat1	1.0
X_Mill1_Leh_100300500020_Leh_Atta	7.11
X_Mill1_Leh_100300500020_Leh_Wheat1	1.0
X_Mill1_Leh_100300500024_Leh_Atta	11.7
X_Mill1_Leh_100300500024_Leh_Wheat1	1.0
X_Mill1_Leh_100300500025_Leh_Atta	27.81
X_Mill1_Leh_100300500025_Leh_Wheat1	1.0
X_Mill1_Leh_100300500026_Leh_Atta	1.83
X_Mill1_Leh_100300500026_Leh_Wheat1	1.0
X_Mill1_Leh_100300500027_Leh_Atta	13.26
X_Mill1_Leh_100300500027_Leh_Wheat1	1.0
X_Mill1_Leh_100300500028_Leh_Atta	7.74
X_Mill1_Leh_100300500028_Leh_Wheat1	1.0
X_Mill1_Leh_100300500030_Leh_Atta	7.92
X_Mill1_Leh_100300500030_Leh_Wheat1	1.0
X_Mill1_Leh_100300500031_Leh_Atta	11.28
X_Mill1_Leh_100300500031_Leh_Wheat1	1.0
X_Mill1_Leh_100300500032_Leh_Atta	2.52
X_Mill1_Leh_100300500032_Leh_Wheat1	1.0
X_Mill1_Leh_100300500034_Leh_Atta	12.18
X_Mill1_Leh_100300500034_Leh_Wheat1	1.0
X_Mill1_Leh_100300500036_Leh_Atta	6.12
X_Mill1_Leh_100300500036_Leh_Wheat1	1.0
X_Mill1_Leh_100300500038_Leh_Atta	4.44
X_Mill1_Leh_100300500038_Leh_Wheat1	1.0
X_Mill1_Leh_100300500039_Leh_Atta	5.67
X_Mill1_Leh_100300500039_Leh_Wheat1	1.0
X_Mill1_Leh_100300500040_Leh_Atta	7.92
X_Mill1_Leh_100300500040_Leh_Wheat1	1.0
X_Mill1_Leh_100300500042_Leh_Atta	4.98
X_Mill1_Leh_100300500042_Leh_Wheat1	1.0
X_Mill1_Leh_100300600001_Leh_Atta	7.98
X_Mill1_Leh_100300600001_Leh_Wheat1	1.0
X_Mill1_Leh_100300600002_Leh_Atta	2.64
X_Mill1_Leh_100300600002_Leh_Wheat1	1.0
X_Mill1_Leh_100300600003_Leh_Atta	3.03
X_Mill1_Leh_100300600003_Leh_Wheat1	1.0
X_Mill1_Leh_100300600004_Leh_Atta	5.91
X_Mill1_Leh_100300600004_Leh_Wheat1	1.0
X_Mill1_Leh_100300600005_Leh_Atta	11.46
X_Mill1_Leh_100300600005_Leh_Wheat1	1.0
X_Mill1_Leh_100300600006_Leh_Atta	9.33
X_Mill1_Leh_100300600006_Leh_Wheat1	1.0
X_Mill1_Leh_100300600007_Leh_Atta	5.16
X_Mill1_Leh_100300600007_Leh_Wheat1	1.0
X_Mill1_Leh_100300600008_Leh_Atta	21.78
X_Mill1_Leh_100300600008_Leh_Wheat1	1.0
X_Mill1_Leh_100300600009_Leh_Atta	6.06
X_Mill1_Leh_100300600009_Leh_Wheat1	1.0
X_Mill1_Leh_100300600010_Leh_Atta	0.75
X_Mill1_Leh_100300600010_Leh_Wheat1	1.0
X_Mill1_Leh_100300600011_Leh_Atta	8.25
X_Mill1_Leh_100300600011_Leh_Wheat1	1.0
X_Mill1_Leh_100300600012_Leh_Atta	27.66
X_Mill1_Leh_100300600012_Leh_Wheat1	1.0
X_Mill1_Leh_100300600013_Leh_Atta	5.46
X_Mill1_Leh_100300600013_Leh_Wheat1	1.0
X_Mill1_Leh_100300600015_Leh_Atta	11.1
X_Mill1_Leh_100300600015_Leh_Wheat1	1.0
X_Mill1_Leh_100300600016_Leh_Atta	5.19
X_Mill1_Leh_100300600016_Leh_Wheat1	1.0
X_Mill1_Leh_100300600017_Leh_Atta	18.3
X_Mill1_Leh_100300600017_Leh_Wheat1	1.0
X_Mill1_Leh_100300600018_Leh_Atta	5.61
X_Mill1_Leh_100300600018_Leh_Wheat1	1.0
X_Mill1_Leh_100300600019_Leh_Atta	2.49
X_Mill1_Leh_100300600019_Leh_Wheat1	1.0
